base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,different,donor_bytes,donor_error,donor_sha256,task
1825,2677,,2558,119,17.10754795647965,70de68ad03e398afd19fae55f3fad436817201e5df612359c9069b0f8281f98a,10433,donor-unscorable,True,12258,ValueError: network performance could not be measured,94a7444cb9fb6e43d4fdb04660cb7bf9ffa798c8b1ca6a5bef9c1344293c4008,task094
587,345,,245,100,19.15645558296864,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,11671,donor-unscorable,True,12258,ValueError: network performance could not be measured,01d364e2e82510274f1b0277d9442844ee81ab49146a35152ad7868289e635bb,task095
3829,910,,0,910,18.186555400489105,e11f658842029acf14bc7f02675371d143c017e0709af40a14889bf685d7340e,8429,donor-unscorable,True,12258,ValueError: network performance could not be measured,6fc59ae0fe76bd14cd466e9ec06b41716dc3c645d01a78d29dff973f3059b824,task097
3794,900,,0,900,18.197605236675688,5aad8d8ffb260eb0c90abfb93e28e88c772f7afee8bdf4d318e99c3266a1209c,8464,donor-unscorable,True,12258,ValueError: network performance could not be measured,2065adf0d536d54e4a373cd96b46133979d800031df38d7c209f4cbfc3b75675,task098
2349,504,,0,504,18.777423731928632,6c419ff35ddc8651209c1ac5f32b0f2aecce69501cd274348e10c97a469bcfed,9909,donor-unscorable,True,12258,ValueError: network performance could not be measured,0b093fbb472df594159a4bad1e5026069b84f5dc9ddc4b37540ce78782d53222,task099
10415,13695,,12881,814,15.475213918302822,f1feae5c9124835d70bf2b34ed93d7ab26b41ce4ae35b426a489e48b0f1275bb,1843,donor-unscorable,True,12258,ValueError: network performance could not be measured,a8aed82bd7aa4e5a6700290bbb153d43001fb6210a4f2ee84772f6a79b8814ee,task101
1861,2527,,2414,113,17.165211892611808,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,10397,donor-unscorable,True,12258,ValueError: network performance could not be measured,25ba14f6cb66d29ef27ff19fbe6bf12d61ae14d218dbddd930e32da722ddd787,task102
5826,2835,,2718,117,17.05020278383815,d523b6de5b74f21aa38111440ba3b3d92843f8d5eea002227793ebc3c4df9bc8,6432,donor-unscorable,True,12258,ValueError: network performance could not be measured,9417471fd8d101765e82fd54bc4509ddfb977c82157d4cd83b9c4f8cccc29087,task105
4445,10327,,10104,223,15.757482896328597,9acdfb9bca16c2fef4fc1625b052e27dbacccdf25cc273a25539c34e75816176,7813,donor-unscorable,True,12258,ValueError: network performance could not be measured,efe75132b9308b711decdcfce26fe8772e732c7093636acae6f90c8d4873d17b,task110
4795,1768,,1616,152,17.52239575680241,7e9cf731688593d892fa3e46deb55296b49b4ca156a49e5a1af41549fcb8f91a,7463,donor-unscorable,True,12258,ValueError: network performance could not be measured,41f05de5c295016a4b2fdf35b807e66b4edf7fc591a7d09dd66e43e79e830599,task112
499,30,,0,30,21.598802618337846,356a5f1e2200cf2560f6c836ce7d21eca6b6cad9e68015c2ae31639613ef9b09,11759,donor-unscorable,True,12258,ValueError: network performance could not be measured,09af98a8fc1b0db4d9fdbd6a22e3cbf0978bcb07cce2698f3a35dc951c0fcef0,task113
2908,3795,,3592,203,16.758560310170267,f346b1d939f3d2b3bcb31036193f72bddc331e247c66216df9e3865c2ac36281,9350,donor-unscorable,True,12258,ValueError: network performance could not be measured,78d3756357ef4509edf42e09ba0fc78809acaf3369f6a021eb2c8f38afdd6ac2,task117
